label,ux0sommet0,uy0sommet0,ux0sommet1,uy0sommet1,ux0sommet2,uy0sommet2,ux0sommet3,uy0sommet3,ux5sommet0,uy5sommet0,ux5sommet1,uy5sommet1,ux5sommet2,uy5sommet2,ux5sommet3,uy5sommet3,ux9sommet0,uy9sommet0,ux9sommet1,uy9sommet1,ux9sommet2,uy9sommet2,ux9sommet3,uy9sommet3,ux13sommet0,uy13sommet0,ux13sommet1,uy13sommet1,ux13sommet2,uy13sommet2,ux13sommet3,uy13sommet3,ux17sommet0,uy17sommet0,ux17sommet1,uy17sommet1,ux17sommet2,uy17sommet2,ux17sommet3
1,-138.23757702112198,-41.08822464942932,-254.23757702112198,-41.08822464942932,-254.23757702112198,-157.08822464942932,-138.23757702112198,-157.08822464942932,-138.9441728554666,-41.216167867183685,-254.9441728554666,-41.216167867183685,-254.9441728554666,-157.21616786718369,-138.9441728554666,-157.21616786718369,-138.21932464838028,-41.27530479431152,-254.21932464838028,-41.27530479431152,-254.21932464838028,-157.27530479431152,-138.21932464838028,-157.27530479431152,-138.30409026145935,-41.90838806331158,-254.30409026145935,-41.90838806331158,-254.30409026145935,-157.90838806331158,-138.30409026145935,-157.90838806331158,-139.00121856923215,-41.271187126636505,-255.00121856923215,-41.271187126636505,-255.00121856923215,-157.2711871266365,-139.00121856923215,-157.2711871266365
1,-147.197265625,-50.10131621360779,-247.197265625,-50.10131621360779,-247.197265625,-150.1013162136078,-147.197265625,-150.1013162136078,-147.95145006850362,-50.20965933799744,-247.95145006850362,-50.20965933799744,-247.95145006850362,-150.20965933799744,-147.95145006850362,-150.20965933799744,-147.23005944490433,-50.273192048072815,-247.23005944490433,-50.273192048072815,-247.23005944490433,-150.27319204807281,-147.23005944490433,-150.27319204807281,-147.2936229109764,-50.942785520106554,-247.2936229109764,-50.942785520106554,-247.2936229109764,-150.94278552010655,-147.2936229109764,-150.94278552010655,-148.04097590968013,-50.233425199985504,-248.04097590968013,-50.233425199985504,-248.04097590968013,-150.2334251999855,-148.04097590968013,-150.2334251999855
1,-154.37445330619812,-45.17841225862503,-244.37445330619812,-45.17841225862503,-244.37445330619812,-135.17841225862503,-154.37445330619812,-135.17841225862503,-154.97397881001234,-45.32284635305405,-244.97397881001234,-45.32284635305405,-244.97397881001234,-135.32284635305405,-154.97397881001234,-135.32284635305405,-154.30945003032684,-45.32575833797455,-244.30945003032684,-45.32575833797455,-244.30945003032684,-135.32575833797455,-154.30945003032684,-135.32575833797455,-154.36058950424194,-45.957832869142294,-244.36058950424194,-45.957832869142294,-244.36058950424194,-135.9578328691423,-154.36058950424194,-135.9578328691423,-155.01098847482353,-45.34968250989914,-245.01098847482353,-45.34968250989914,-245.01098847482353,-135.34968250989914,-155.01098847482353,-135.34968250989914
1,-149.4127452969551,-44.14852333068848,-239.4127452969551,-44.14852333068848,-239.4127452969551,-134.14852333068848,-149.4127452969551,-134.14852333068848,-149.95673333480954,-44.38026785850525,-239.95673333480954,-44.38026785850525,-239.95673333480954,-134.38026785850525,-149.95673333480954,-134.38026785850525,-149.3912107348442,-44.29906314611435,-239.3912107348442,-44.29906314611435,-239.3912107348442,-134.29906314611435,-149.3912107348442,-134.29906314611435,-149.31713300943375,-44.90405886620283,-239.31713300943375,-44.90405886620283,-239.31713300943375,-134.90405886620283,-149.31713300943375,-134.90405886620283,-150.00676463684067,-44.38027077913284,-240.00676463684067,-44.38027077913284,-240.00676463684067,-134.38027077913284,-150.00676463684067,-134.38027077913284
1,-152.391792178154,-45.14888018369675,-241.391792178154,-45.14888018369675,-241.391792178154,-134.14888018369675,-152.391792178154,-134.14888018369675,-152.97367511317134,-45.36408573389053,-241.97367511317134,-45.36408573389053,-241.97367511317134,-134.36408573389053,-152.97367511317134,-134.36408573389053,-152.3754779100418,-45.28845477104187,-241.3754779100418,-45.28845477104187,-241.3754779100418,-134.28845477104187,-152.3754779100418,-134.28845477104187,-152.30594903230667,-45.986339228227735,-241.30594903230667,-45.986339228227735,-241.30594903230667,-134.98633922822773,-152.30594903230667,-134.98633922822773,-153.0316076055169,-45.360854625701904,-242.0316076055169,-45.360854625701904,-242.0316076055169,-134.3608546257019,-153.0316076055169,-134.3608546257019
1,-155.43036288022995,-48.15230393409729,-241.43036288022995,-48.15230393409729,-241.43036288022995,-134.1523039340973,-155.43036288022995,-134.1523039340973,-155.97397699020803,-48.37340074777603,-241.97397699020803,-48.37340074777603,-241.97397699020803,-134.37340074777603,-155.97397699020803,-134.37340074777603,-155.354687333107,-48.28505539894104,-241.354687333107,-48.28505539894104,-241.354687333107,-134.28505539894104,-155.354687333107,-134.28505539894104,-155.30939495563507,-48.95772585272789,-241.30939495563507,-48.95772585272789,-241.30939495563507,-134.9577258527279,-155.30939495563507,-134.9577258527279,-156.01721597835422,-48.39108765125275,-242.01721597835422,-48.39108765125275,-242.01721597835422,-134.39108765125275,-156.01721597835422,-134.39108765125275
1,-154.4031646847725,-49.13860213756561,-243.4031646847725,-49.13860213756561,-243.4031646847725,-138.1386021375656,-154.4031646847725,-138.1386021375656,-154.9748588874936,-49.38033527135849,-243.9748588874936,-49.38033527135849,-243.9748588874936,-138.3803352713585,-154.9748588874936,-138.3803352713585,-154.38961797952652,-49.27404308319092,-243.38961797952652,-49.27404308319092,-243.38961797952652,-138.27404308319092,-154.38961797952652,-138.27404308319092,-154.29985123872757,-49.98817805480212,-243.29985123872757,-49.98817805480212,-243.29985123872757,-138.98817805480212,-154.29985123872757,-138.98817805480212,-155.04135984927416,-49.37492477893829,-244.04135984927416,-49.37492477893829,-244.04135984927416,-138.3749247789383,-155.04135984927416,-138.3749247789383
1,-154.38972109556198,-49.17011731863022,-243.38972109556198,-49.17011731863022,-243.38972109556198,-138.17011731863022,-154.38972109556198,-138.17011731863022,-154.981211328879,-49.354416370391846,-243.981211328879,-49.354416370391846,-243.981211328879,-138.35441637039185,-154.981211328879,-138.35441637039185,-154.3647637963295,-49.30065304040909,-243.3647637963295,-49.30065304040909,-243.3647637963295,-138.3006530404091,-154.3647637963295,-138.3006530404091,-154.31756043434143,-50.02380509674549,-243.31756043434143,-50.02380509674549,-243.31756043434143,-139.0238050967455,-154.31756043434143,-139.0238050967455,-155.06710716336966,-49.36206781864166,-244.06710716336966,-49.36206781864166,-244.06710716336966,-138.36206781864166,-155.06710716336966,-138.36206781864166
1,-153.4112783074379,-50.12871539592743,-241.4112783074379,-50.12871539592743,-241.4112783074379,-138.12871539592743,-153.4112783074379,-138.12871539592743,-153.97197331115603,-50.358548283576965,-241.97197331115603,-50.358548283576965,-241.97197331115603,-138.35854828357697,-153.97197331115603,-138.35854828357697,-153.3432121872902,-50.26088488101959,-241.3432121872902,-50.26088488101959,-241.3432121872902,-138.2608848810196,-153.3432121872902,-138.2608848810196,-153.30368381738663,-50.97205173969269,-241.30368381738663,-50.97205173969269,-241.30368381738663,-138.9720517396927,-153.30368381738663,-138.9720517396927,-154.02181662246585,-50.36803060770035,-242.02181662246585,-50.36803060770035,-242.02181662246585,-138.36803060770035,-154.02181662246585,-138.36803060770035
1,-154.3463888168335,-51.10266149044037,-240.3463888168335,-51.10266149044037,-240.3463888168335,-137.10266149044037,-154.3463888168335,-137.10266149044037,-154.95541625097394,-51.343654692173004,-240.95541625097394,-51.343654692173004,-240.95541625097394,-137.343654692173,-154.95541625097394,-137.343654692173,-154.36042404174805,-51.236582577228546,-240.36042404174805,-51.236582577228546,-240.36042404174805,-137.23658257722855,-154.36042404174805,-137.23658257722855,-154.25009393692017,-51.95397059619427,-240.25009393692017,-51.95397059619427,-240.25009393692017,-137.95397059619427,-154.25009393692017,-137.95397059619427,-155.0099948067218,-51.33634638786316,-241.0099948067218,-51.33634638786316,-241.0099948067218,-137.33634638786316,-155.0099948067218,-137.33634638786316
1,-161.37192451953888,-34.12312412261963,-258.3719245195389,-34.12312412261963,-258.3719245195389,-131.12312412261963,-161.37192451953888,-131.12312412261963,-161.9716972336173,-34.317914962768555,-258.9716972336173,-34.317914962768555,-258.9716972336173,-131.31791496276855,-161.9716972336173,-131.31791496276855,-161.3024387359619,-34.308507204055786,-258.3024387359619,-34.308507204055786,-258.3024387359619,-131.3085072040558,-161.3024387359619,-131.3085072040558,-161.34221148490906,-34.95391262695193,-258.34221148490906,-34.95391262695193,-258.34221148490906,-131.95391262695193,-161.34221148490906,-131.95391262695193,-162.01990408077836,-34.354254484176636,-259.01990408077836,-34.354254484176636,-259.01990408077836,-131.35425448417664,-162.01990408077836,-131.35425448417664
1,-167.42049610614777,-37.21717989444733,-259.42049610614777,-37.21717989444733,-259.42049610614777,-129.21717989444733,-167.42049610614777,-129.21717989444733,-167.9577958546579,-37.38435262441635,-259.9577958546579,-37.38435262441635,-259.9577958546579,-129.38435262441635,-167.9577958546579,-129.38435262441635,-167.39206248521805,-37.38695830106735,-259.39206248521805,-37.38695830106735,-259.39206248521805,-129.38695830106735,-167.39206248521805,-129.38695830106735,-167.42379581928253,-37.91302710771561,-259.42379581928253,-37.91302710771561,-259.42379581928253,-129.9130271077156,-167.42379581928253,-129.9130271077156,-168.01939841359854,-37.38476186990738,-260.01939841359854,-37.38476186990738,-260.01939841359854,-129.38476186990738,-168.01939841359854,-129.38476186990738
1,-160.3778046965599,-39.17786258459091,-251.3778046965599,-39.17786258459091,-251.3778046965599,-130.1778625845909,-160.3778046965599,-130.1778625845909,-160.9757794868201,-39.34117478132248,-251.9757794868201,-39.34117478132248,-251.9757794868201,-130.34117478132248,-160.9757794868201,-130.34117478132248,-160.35515451431274,-39.34687066078186,-251.35515451431274,-39.34687066078186,-251.35515451431274,-130.34687066078186,-160.35515451431274,-130.34687066078186,-160.3730863928795,-39.93227803707123,-251.3730863928795,-39.93227803707123,-251.3730863928795,-130.93227803707123,-160.3730863928795,-130.93227803707123,-161.02317086420953,-39.35906720161438,-252.02317086420953,-39.35906720161438,-252.02317086420953,-130.35906720161438,-161.02317086420953,-130.35906720161438
1,-165.38878375291824,-37.156632244586945,-258.38878375291824,-37.156632244586945,-258.38878375291824,-130.15663224458694,-165.38878375291824,-130.15663224458694,-165.97007692791522,-37.3107653260231,-258.9700769279152,-37.3107653260231,-258.9700769279152,-130.3107653260231,-165.97007692791522,-130.3107653260231,-165.28175097703934,-37.31293833255768,-258.28175097703934,-37.31293833255768,-258.28175097703934,-130.31293833255768,-165.28175097703934,-130.31293833255768,-165.33952468633652,-37.949321400374174,-258.3395246863365,-37.949321400374174,-258.3395246863365,-130.94932140037417,-165.33952468633652,-130.94932140037417,-166.02643531002104,-37.343724846839905,-259.02643531002104,-37.343724846839905,-259.02643531002104,-130.3437248468399,-166.02643531002104,-130.3437248468399
1,-162.40043491125107,-43.121034145355225,-253.40043491125107,-43.121034145355225,-253.40043491125107,-134.12103414535522,-162.40043491125107,-134.12103414535522,-162.96302818506956,-43.365219950675964,-253.96302818506956,-43.365219950675964,-253.96302818506956,-134.36521995067596,-162.96302818506956,-134.36521995067596,-162.3787842988968,-43.28709542751312,-253.3787842988968,-43.28709542751312,-253.3787842988968,-134.28709542751312,-162.3787842988968,-134.28709542751312,-162.31193536520004,-43.94774083793163,-253.31193536520004,-43.94774083793163,-253.31193536520004,-134.94774083793163,-162.31193536520004,-134.94774083793163,-163.02650516852736,-43.36351615190506,-254.02650516852736,-43.36351615190506,-254.02650516852736,-134.36351615190506,-163.02650516852736,-134.36351615190506
1,-162.3905058503151,-39.158058881759644,-255.3905058503151,-39.158058881759644,-255.3905058503151,-132.15805888175964,-162.3905058503151,-132.15805888175964,-162.97622121870518,-39.33128476142883,-255.97622121870518,-39.33128476142883,-255.97622121870518,-132.33128476142883,-162.97622121870518,-132.33128476142883,-162.3278501033783,-39.33773672580719,-255.3278501033783,-39.33773672580719,-255.3278501033783,-132.3377367258072,-162.3278501033783,-132.3377367258072,-162.37193912267685,-39.926377698779106,-255.37193912267685,-39.926377698779106,-255.37193912267685,-132.9263776987791,-162.37193912267685,-132.9263776987791,-163.03306311368942,-39.36389899253845,-256.0330631136894,-39.36389899253845,-256.0330631136894,-132.36389899253845,-163.03306311368942,-132.36389899253845
